variable,scenario,model,fname,fpath
PETsrad,ssp126,GFDL-ESM4_CCAM,PETsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PETsrad/PETsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp126,NorESM2-MM_CCAM,PETsrad_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PETsrad/PETsrad_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
hurs,ssp126,ACCESS-CM2_CCAM,hurs_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,AWI-CM-1-1-MR_CCAM,hurs_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,CNRM-CM6-1_CCAM,hurs_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,EC-Earth3_CCAM,hurs_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,GFDL-ESM4_CCAM,hurs_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,NZESM_UM,hurs_ssp126_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_NZESM_UM_daily_NZ5km_raw.nc
hurs,ssp126,NorESM2-MM_CCAM,hurs_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
pr,ssp126,ACCESS-CM2_CCAM,pr_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
pr,ssp126,AWI-CM-1-1-MR_CCAM,pr_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
pr,ssp126,CNRM-CM6-1_CCAM,pr_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
pr,ssp126,EC-Earth3_CCAM,pr_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc
pr,ssp126,GFDL-ESM4_CCAM,pr_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
pr,ssp126,NZESM_UM,pr_ssp126_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_NZESM_UM_daily_NZ5km_bc.nc
pr,ssp126,NorESM2-MM_CCAM,pr_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
rsds,ssp126,ACCESS-CM2_CCAM,rsds_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,AWI-CM-1-1-MR_CCAM,rsds_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,CNRM-CM6-1_CCAM,rsds_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,EC-Earth3_CCAM,rsds_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,GFDL-ESM4_CCAM,rsds_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,NZESM_UM,rsds_ssp126_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_NZESM_UM_daily_NZ5km_raw.nc
rsds,ssp126,NorESM2-MM_CCAM,rsds_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp126,ACCESS-CM2_CCAM,sfcWind_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWind/sfcWind_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp126,AWI-CM-1-1-MR_CCAM,sfcWind_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWind/sfcWind_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp126,CNRM-CM6-1_CCAM,sfcWind_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWind/sfcWind_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp126,EC-Earth3_CCAM,sfcWind_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWind/sfcWind_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp126,GFDL-ESM4_CCAM,sfcWind_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWind/sfcWind_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp126,NZESM_UM,sfcWind_ssp126_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWind/sfcWind_ssp126_NZESM_UM_daily_NZ5km_raw.nc
sfcWind,ssp126,NorESM2-MM_CCAM,sfcWind_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWind/sfcWind_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp126,ACCESS-CM2_CCAM,sfcWindmax_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWindmax/sfcWindmax_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp126,AWI-CM-1-1-MR_CCAM,sfcWindmax_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWindmax/sfcWindmax_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp126,CNRM-CM6-1_CCAM,sfcWindmax_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWindmax/sfcWindmax_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp126,EC-Earth3_CCAM,sfcWindmax_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWindmax/sfcWindmax_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp126,GFDL-ESM4_CCAM,sfcWindmax_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWindmax/sfcWindmax_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp126,NZESM_UM,sfcWindmax_ssp126_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWindmax/sfcWindmax_ssp126_NZESM_UM_daily_NZ5km_raw.nc
sfcWindmax,ssp126,NorESM2-MM_CCAM,sfcWindmax_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWindmax/sfcWindmax_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
tas,ssp126,ACCESS-CM2_CCAM,tas_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tas/tas_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tas,ssp126,AWI-CM-1-1-MR_CCAM,tas_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tas/tas_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tas,ssp126,CNRM-CM6-1_CCAM,tas_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tas/tas_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tas,ssp126,EC-Earth3_CCAM,tas_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tas/tas_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tas,ssp126,GFDL-ESM4_CCAM,tas_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tas/tas_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
tas,ssp126,NZESM_UM,tas_ssp126_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tas/tas_ssp126_NZESM_UM_daily_NZ5km_bc.nc
tas,ssp126,NorESM2-MM_CCAM,tas_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tas/tas_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
tasmax,ssp126,ACCESS-CM2_CCAM,tasmax_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmax/tasmax_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tasmax,ssp126,AWI-CM-1-1-MR_CCAM,tasmax_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmax/tasmax_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tasmax,ssp126,CNRM-CM6-1_CCAM,tasmax_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmax/tasmax_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tasmax,ssp126,EC-Earth3_CCAM,tasmax_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmax/tasmax_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tasmax,ssp126,GFDL-ESM4_CCAM,tasmax_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmax/tasmax_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
tasmax,ssp126,NZESM_UM,tasmax_ssp126_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmax/tasmax_ssp126_NZESM_UM_daily_NZ5km_bc.nc
tasmax,ssp126,NorESM2-MM_CCAM,tasmax_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmax/tasmax_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
tasmin,ssp126,ACCESS-CM2_CCAM,tasmin_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmin/tasmin_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tasmin,ssp126,AWI-CM-1-1-MR_CCAM,tasmin_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmin/tasmin_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tasmin,ssp126,CNRM-CM6-1_CCAM,tasmin_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmin/tasmin_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tasmin,ssp126,EC-Earth3_CCAM,tasmin_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmin/tasmin_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tasmin,ssp126,GFDL-ESM4_CCAM,tasmin_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmin/tasmin_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
tasmin,ssp126,NZESM_UM,tasmin_ssp126_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmin/tasmin_ssp126_NZESM_UM_daily_NZ5km_bc.nc
tasmin,ssp126,NorESM2-MM_CCAM,tasmin_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/tasmin/tasmin_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp245,ACCESS-CM2_CCAM,PEDsrad_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PEDsrad/PEDsrad_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp245,AWI-CM-1-1-MR_CCAM,PEDsrad_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PEDsrad/PEDsrad_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp245,CNRM-CM6-1_CCAM,PEDsrad_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PEDsrad/PEDsrad_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp245,EC-Earth3_CCAM,PEDsrad_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PEDsrad/PEDsrad_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp245,GFDL-ESM4_CCAM,PEDsrad_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PEDsrad/PEDsrad_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp245,NorESM2-MM_CCAM,PEDsrad_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PEDsrad/PEDsrad_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp245,ACCESS-CM2_CCAM,PETsrad_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PETsrad/PETsrad_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp245,AWI-CM-1-1-MR_CCAM,PETsrad_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PETsrad/PETsrad_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp245,CNRM-CM6-1_CCAM,PETsrad_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PETsrad/PETsrad_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp245,EC-Earth3_CCAM,PETsrad_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PETsrad/PETsrad_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp245,GFDL-ESM4_CCAM,PETsrad_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PETsrad/PETsrad_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp245,NorESM2-MM_CCAM,PETsrad_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/PETsrad/PETsrad_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
hurs,ssp245,ACCESS-CM2_CCAM,hurs_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/hurs/hurs_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
hurs,ssp245,AWI-CM-1-1-MR_CCAM,hurs_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/hurs/hurs_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
hurs,ssp245,CNRM-CM6-1_CCAM,hurs_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/hurs/hurs_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
hurs,ssp245,EC-Earth3_CCAM,hurs_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/hurs/hurs_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc
hurs,ssp245,GFDL-ESM4_CCAM,hurs_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/hurs/hurs_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
hurs,ssp245,NZESM_UM,hurs_ssp245_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/hurs/hurs_ssp245_NZESM_UM_daily_NZ5km_raw.nc
hurs,ssp245,NorESM2-MM_CCAM,hurs_ssp245_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/hurs/hurs_ssp245_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
pr,ssp245,ACCESS-CM2_CCAM,pr_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/pr/pr_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
pr,ssp245,AWI-CM-1-1-MR_CCAM,pr_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/pr/pr_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
pr,ssp245,CNRM-CM6-1_CCAM,pr_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/pr/pr_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
pr,ssp245,EC-Earth3_CCAM,pr_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/pr/pr_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc
pr,ssp245,GFDL-ESM4_CCAM,pr_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/pr/pr_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
pr,ssp245,NZESM_UM,pr_ssp245_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/pr/pr_ssp245_NZESM_UM_daily_NZ5km_bc.nc
pr,ssp245,NorESM2-MM_CCAM,pr_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/pr/pr_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
rsds,ssp245,ACCESS-CM2_CCAM,rsds_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/rsds/rsds_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
