variable,scenario,model,fname,fpath
rsds,ssp245,AWI-CM-1-1-MR_CCAM,rsds_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/rsds/rsds_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
rsds,ssp245,CNRM-CM6-1_CCAM,rsds_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/rsds/rsds_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
rsds,ssp245,EC-Earth3_CCAM,rsds_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/rsds/rsds_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc
rsds,ssp245,GFDL-ESM4_CCAM,rsds_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/rsds/rsds_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
rsds,ssp245,NZESM_UM,rsds_ssp245_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/rsds/rsds_ssp245_NZESM_UM_daily_NZ5km_raw.nc
rsds,ssp245,NorESM2-MM_CCAM,rsds_ssp245_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/rsds/rsds_ssp245_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp245,ACCESS-CM2_CCAM,sfcWind_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWind/sfcWind_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp245,AWI-CM-1-1-MR_CCAM,sfcWind_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWind/sfcWind_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp245,CNRM-CM6-1_CCAM,sfcWind_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWind/sfcWind_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp245,EC-Earth3_CCAM,sfcWind_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWind/sfcWind_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp245,GFDL-ESM4_CCAM,sfcWind_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWind/sfcWind_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp245,NZESM_UM,sfcWind_ssp245_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWind/sfcWind_ssp245_NZESM_UM_daily_NZ5km_raw.nc
sfcWind,ssp245,NorESM2-MM_CCAM,sfcWind_ssp245_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWind/sfcWind_ssp245_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp245,ACCESS-CM2_CCAM,sfcWindmax_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWindmax/sfcWindmax_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp245,AWI-CM-1-1-MR_CCAM,sfcWindmax_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWindmax/sfcWindmax_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp245,CNRM-CM6-1_CCAM,sfcWindmax_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWindmax/sfcWindmax_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp245,EC-Earth3_CCAM,sfcWindmax_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWindmax/sfcWindmax_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp245,GFDL-ESM4_CCAM,sfcWindmax_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWindmax/sfcWindmax_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp245,NZESM_UM,sfcWindmax_ssp245_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWindmax/sfcWindmax_ssp245_NZESM_UM_daily_NZ5km_raw.nc
sfcWindmax,ssp245,NorESM2-MM_CCAM,sfcWindmax_ssp245_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/sfcWindmax/sfcWindmax_ssp245_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
tas,ssp245,ACCESS-CM2_CCAM,tas_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tas/tas_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tas,ssp245,AWI-CM-1-1-MR_CCAM,tas_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tas/tas_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tas,ssp245,CNRM-CM6-1_CCAM,tas_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tas/tas_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tas,ssp245,EC-Earth3_CCAM,tas_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tas/tas_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tas,ssp245,GFDL-ESM4_CCAM,tas_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tas/tas_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
tas,ssp245,NZESM_UM,tas_ssp245_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tas/tas_ssp245_NZESM_UM_daily_NZ5km_bc.nc
tas,ssp245,NorESM2-MM_CCAM,tas_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tas/tas_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
tasmax,ssp245,ACCESS-CM2_CCAM,tasmax_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmax/tasmax_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tasmax,ssp245,AWI-CM-1-1-MR_CCAM,tasmax_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmax/tasmax_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tasmax,ssp245,CNRM-CM6-1_CCAM,tasmax_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmax/tasmax_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tasmax,ssp245,EC-Earth3_CCAM,tasmax_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmax/tasmax_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tasmax,ssp245,GFDL-ESM4_CCAM,tasmax_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmax/tasmax_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
tasmax,ssp245,NZESM_UM,tasmax_ssp245_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmax/tasmax_ssp245_NZESM_UM_daily_NZ5km_bc.nc
tasmax,ssp245,NorESM2-MM_CCAM,tasmax_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmax/tasmax_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
tasmin,ssp245,ACCESS-CM2_CCAM,tasmin_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmin/tasmin_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tasmin,ssp245,AWI-CM-1-1-MR_CCAM,tasmin_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmin/tasmin_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tasmin,ssp245,CNRM-CM6-1_CCAM,tasmin_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmin/tasmin_ssp245_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tasmin,ssp245,EC-Earth3_CCAM,tasmin_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmin/tasmin_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tasmin,ssp245,GFDL-ESM4_CCAM,tasmin_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmin/tasmin_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
tasmin,ssp245,NZESM_UM,tasmin_ssp245_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmin/tasmin_ssp245_NZESM_UM_daily_NZ5km_bc.nc
tasmin,ssp245,NorESM2-MM_CCAM,tasmin_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp245/tasmin/tasmin_ssp245_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp370,ACCESS-CM2_CCAM,PEDsrad_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PEDsrad/PEDsrad_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp370,AWI-CM-1-1-MR_CCAM,PEDsrad_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PEDsrad/PEDsrad_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp370,CNRM-CM6-1_CCAM,PEDsrad_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PEDsrad/PEDsrad_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp370,EC-Earth3_CCAM,PEDsrad_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PEDsrad/PEDsrad_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp370,GFDL-ESM4_CCAM,PEDsrad_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PEDsrad/PEDsrad_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp370,NorESM2-MM_CCAM,PEDsrad_ssp370_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PEDsrad/PEDsrad_ssp370_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp370,ACCESS-CM2_CCAM,PETsrad_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PETsrad/PETsrad_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp370,AWI-CM-1-1-MR_CCAM,PETsrad_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PETsrad/PETsrad_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp370,CNRM-CM6-1_CCAM,PETsrad_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PETsrad/PETsrad_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp370,EC-Earth3_CCAM,PETsrad_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PETsrad/PETsrad_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp370,GFDL-ESM4_CCAM,PETsrad_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PETsrad/PETsrad_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp370,NorESM2-MM_CCAM,PETsrad_ssp370_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/PETsrad/PETsrad_ssp370_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
hurs,ssp370,ACCESS-CM2_CCAM,hurs_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/hurs/hurs_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
hurs,ssp370,AWI-CM-1-1-MR_CCAM,hurs_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/hurs/hurs_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
hurs,ssp370,CNRM-CM6-1_CCAM,hurs_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/hurs/hurs_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
hurs,ssp370,EC-Earth3_CCAM,hurs_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/hurs/hurs_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc
hurs,ssp370,GFDL-ESM4_CCAM,hurs_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/hurs/hurs_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
hurs,ssp370,NZESM_UM,hurs_ssp370_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/hurs/hurs_ssp370_NZESM_UM_daily_NZ5km_raw.nc
hurs,ssp370,NorESM2-MM_CCAM,hurs_ssp370_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/hurs/hurs_ssp370_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
pr,ssp370,ACCESS-CM2_CCAM,pr_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/pr/pr_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
pr,ssp370,AWI-CM-1-1-MR_CCAM,pr_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/pr/pr_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
pr,ssp370,CNRM-CM6-1_CCAM,pr_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/pr/pr_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
pr,ssp370,EC-Earth3_CCAM,pr_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/pr/pr_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc
pr,ssp370,GFDL-ESM4_CCAM,pr_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/pr/pr_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
pr,ssp370,NZESM_UM,pr_ssp370_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/pr/pr_ssp370_NZESM_UM_daily_NZ5km_bc.nc
pr,ssp370,NorESM2-MM_CCAM,pr_ssp370_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/pr/pr_ssp370_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
rsds,ssp370,ACCESS-CM2_CCAM,rsds_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/rsds/rsds_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
rsds,ssp370,AWI-CM-1-1-MR_CCAM,rsds_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/rsds/rsds_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
rsds,ssp370,CNRM-CM6-1_CCAM,rsds_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/rsds/rsds_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
rsds,ssp370,EC-Earth3_CCAM,rsds_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/rsds/rsds_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc
rsds,ssp370,GFDL-ESM4_CCAM,rsds_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/rsds/rsds_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
rsds,ssp370,NZESM_UM,rsds_ssp370_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/rsds/rsds_ssp370_NZESM_UM_daily_NZ5km_raw.nc
rsds,ssp370,NorESM2-MM_CCAM,rsds_ssp370_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/rsds/rsds_ssp370_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp370,ACCESS-CM2_CCAM,sfcWind_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWind/sfcWind_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp370,AWI-CM-1-1-MR_CCAM,sfcWind_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWind/sfcWind_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp370,CNRM-CM6-1_CCAM,sfcWind_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWind/sfcWind_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp370,EC-Earth3_CCAM,sfcWind_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWind/sfcWind_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp370,GFDL-ESM4_CCAM,sfcWind_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWind/sfcWind_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp370,NZESM_UM,sfcWind_ssp370_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWind/sfcWind_ssp370_NZESM_UM_daily_NZ5km_raw.nc
sfcWind,ssp370,NorESM2-MM_CCAM,sfcWind_ssp370_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWind/sfcWind_ssp370_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp370,ACCESS-CM2_CCAM,sfcWindmax_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWindmax/sfcWindmax_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp370,AWI-CM-1-1-MR_CCAM,sfcWindmax_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWindmax/sfcWindmax_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
sfcWindmax,ssp370,CNRM-CM6-1_CCAM,sfcWindmax_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp370/sfcWindmax/sfcWindmax_ssp370_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
